,Temperatura,Humedad,Presion,Descripcion,dt,Velocidad viento,Grados viento,Ciudad,Dia
0,21.0,40,1020,scattered clouds,1574732268,2.42,337,Leon,2019-11-25 19:37:48
1,20.0,45,1020,scattered clouds,1574736549,3.1,260,Leon,2019-11-25 20:49:09
2,17.0,55,1021,scattered clouds,1574739493,2.1,340,Leon,2019-11-25 21:38:13
3,17.0,55,1021,scattered clouds,1574741187,2.1,340,Leon,2019-11-25 22:06:27
4,16.0,55,1022,scattered clouds,1574742887,2.1,230,Leon,2019-11-25 22:34:47
5,16.0,55,1022,scattered clouds,1574744605,2.1,230,Leon,2019-11-25 23:03:25
6,15.0,58,1022,scattered clouds,1574746345,2.1,260,Leon,2019-11-25 23:32:25
7,15.0,58,1022,scattered clouds,1574747606,2.1,260,Leon,2019-11-25 23:53:26
8,13.0,66,1022,scattered clouds,1574749634,1.5,310,Leon,2019-11-26 00:27:14
9,11.0,81,1022,overcast clouds,1574773688,2.1,20,Leon,2019-11-26 07:08:08
10,11.0,81,1022,overcast clouds,1574775092,2.1,20,Leon,2019-11-26 07:31:32
11,11.0,81,1022,overcast clouds,1574777182,2.1,20,Leon,2019-11-26 08:06:22
12,12.0,87,1023,broken clouds,1574778865,0.91,213,Leon,2019-11-26 08:34:25
13,18.0,63,1025,broken clouds,1574785702,3.1,310,Leon,2019-11-26 10:28:22
14,18.0,63,1025,broken clouds,1574786355,3.1,310,Leon,2019-11-26 10:39:15
