,Temperatura,Humedad,Presion,Descripcion,dt,Velocidad viento,Grados viento,Ciudad,Dia
0,20.0,42,1018,broken clouds,1574732267,1.5,240,Guadalajara,2019-11-25 19:37:47
1,18.0,45,1018,broken clouds,1574736521,1.5,300,Guadalajara,2019-11-25 20:48:41
2,19.0,45,1019,scattered clouds,1574739589,2.1,330,Guadalajara,2019-11-25 21:39:49
3,19.0,45,1019,scattered clouds,1574740999,2.1,330,Guadalajara,2019-11-25 22:03:19
4,16.0,59,1019,scattered clouds,1574743176,1.09,251,Guadalajara,2019-11-25 22:39:36
5,16.0,59,1019,scattered clouds,1574744647,1.09,251,Guadalajara,2019-11-25 23:04:07
6,15.0,67,1020,clear sky,1574746092,2.1,230,Guadalajara,2019-11-25 23:28:12
7,15.0,67,1020,clear sky,1574747454,2.1,230,Guadalajara,2019-11-25 23:50:54
8,15.0,62,1020,clear sky,1574749608,1.5,310,Guadalajara,2019-11-26 00:26:48
9,15.0,82,1020,overcast clouds,1574773705,0.79,200,Guadalajara,2019-11-26 07:08:25
10,15.0,82,1020,overcast clouds,1574774971,0.79,200,Guadalajara,2019-11-26 07:29:31
11,16.180000000000007,82,1020,overcast clouds,1574777172,1.24,272,Guadalajara,2019-11-26 08:06:12
12,16.04000000000002,82,1020,broken clouds,1574779146,1.24,272,Guadalajara,2019-11-26 08:39:06
13,20.410000000000025,68,1022,scattered clouds,1574785813,2.1,80,Guadalajara,2019-11-26 10:30:13
14,20.410000000000025,68,1022,scattered clouds,1574786583,2.1,80,Guadalajara,2019-11-26 10:43:03
