,Temperatura,Humedad,Presion,Descripcion,dt,Velocidad viento,Grados viento,Ciudad,Dia
0,20.54000000000002,33,1008,broken clouds,1574731979,2.1,130,Monterrey,2019-11-25 19:32:59
1,21.430000000000007,38,1008,few clouds,1574736497,2.6,110,Monterrey,2019-11-25 20:48:17
2,16.550000000000008,40,1008,clear sky,1574739634,3.1,110,Monterrey,2019-11-25 21:40:34
3,16.640000000000047,40,1008,clear sky,1574740925,3.1,110,Monterrey,2019-11-25 22:02:05
4,15.689999999999998,56,1007,clear sky,1574743139,2.1,60,Monterrey,2019-11-25 22:38:59
5,15.360000000000017,56,1007,clear sky,1574744531,2.1,60,Monterrey,2019-11-25 23:02:11
6,14.260000000000048,68,1007,clear sky,1574746300,1.5,80,Monterrey,2019-11-25 23:31:40
7,14.470000000000026,63,1014,clear sky,1574747404,2.84,204,Monterrey,2019-11-25 23:50:04
8,13.920000000000016,77,1006,clear sky,1574749583,2.84,204,Monterrey,2019-11-26 00:26:23
9,11.879999999999995,72,1004,broken clouds,1574773827,3.6,300,Monterrey,2019-11-26 07:10:27
10,11.810000000000002,72,1004,broken clouds,1574774915,3.6,300,Monterrey,2019-11-26 07:28:35
11,16.82000000000005,72,1004,broken clouds,1574776910,3.6,300,Monterrey,2019-11-26 08:01:50
12,17.370000000000005,59,1005,broken clouds,1574779143,4.6,330,Monterrey,2019-11-26 08:39:03
13,22.390000000000043,49,1006,broken clouds,1574785637,1.5,110,Monterrey,2019-11-26 10:27:17
14,22.75,49,1006,broken clouds,1574786427,1.5,110,Monterrey,2019-11-26 10:40:27
