,Temperatura,Humedad,Presion,Descripcion,dt,Velocidad viento,Grados viento,Ciudad,Dia
0,18.640000000000047,59,1004,broken clouds,1574732164,3.6,170,Queretaro,2019-11-25 19:36:04
1,16.590000000000032,63,1004,few clouds,1574736427,2.6,50,Queretaro,2019-11-25 20:47:07
2,16.010000000000048,77,1005,smoke,1574739633,11.0,319,Queretaro,2019-11-25 21:40:33
3,15.939999999999998,77,1005,smoke,1574741164,11.0,319,Queretaro,2019-11-25 22:06:04
4,15.629999999999995,72,1007,few clouds,1574743176,1.5,90,Queretaro,2019-11-25 22:39:36
5,15.400000000000036,39,1008,clear sky,1574744430,3.1,20,Queretaro,2019-11-25 23:00:30
6,15.180000000000007,76,1008,few clouds,1574746261,2.1,50,Queretaro,2019-11-25 23:31:01
7,15.110000000000017,76,1008,few clouds,1574747693,2.1,50,Queretaro,2019-11-25 23:54:53
8,14.439999999999998,62,1008,clear sky,1574749628,2.6,310,Queretaro,2019-11-26 00:27:08
9,10.660000000000023,27,1012,clear sky,1574773753,2.6,360,Queretaro,2019-11-26 07:09:13
10,9.550000000000011,27,1012,clear sky,1574775089,2.6,360,Queretaro,2019-11-26 07:31:29
11,8.53000000000003,34,1013,few clouds,1574777179,2.6,310,Queretaro,2019-11-26 08:06:19
12,7.57000000000005,39,1014,clear sky,1574779145,3.1,260,Queretaro,2019-11-26 08:39:05
13,12.400000000000034,30,1016,clear sky,1574785836,1.5,280,Queretaro,2019-11-26 10:30:36
14,12.57000000000005,30,1016,clear sky,1574786581,1.5,280,Queretaro,2019-11-26 10:43:01
