,Temperatura,Humedad,Presion,Descripcion,dt,Velocidad viento,Grados viento,Ciudad,Dia
0,16.0,51,1020,broken clouds,1574732270,2.6,200,Zacatecas,2019-11-25 19:37:50
1,15.0,54,1020,broken clouds,1574736504,2.6,200,Zacatecas,2019-11-25 20:48:24
2,15.0,51,1021,broken clouds,1574739645,4.6,200,Zacatecas,2019-11-25 21:40:45
3,15.0,51,1021,broken clouds,1574740974,4.6,200,Zacatecas,2019-11-25 22:02:54
4,14.879999999999995,44,1013,broken clouds,1574742892,5.92,218,Zacatecas,2019-11-25 22:34:52
5,14.0,50,1021,broken clouds,1574744648,5.1,160,Zacatecas,2019-11-25 23:04:08
6,14.0,50,1021,broken clouds,1574746346,5.1,160,Zacatecas,2019-11-25 23:32:26
7,14.879999999999995,44,1013,broken clouds,1574747698,5.92,218,Zacatecas,2019-11-25 23:54:58
8,12.0,66,1021,clear sky,1574749634,5.1,180,Zacatecas,2019-11-26 00:27:14
9,10.0,76,1021,broken clouds,1574773863,5.1,180,Zacatecas,2019-11-26 07:11:03
10,10.0,76,1021,broken clouds,1574774812,5.1,180,Zacatecas,2019-11-26 07:26:52
11,10.0,76,1021,broken clouds,1574777183,5.1,180,Zacatecas,2019-11-26 08:06:23
12,10.0,76,1022,broken clouds,1574779114,5.1,180,Zacatecas,2019-11-26 08:38:34
13,14.0,54,1023,broken clouds,1574785839,5.1,200,Zacatecas,2019-11-26 10:30:39
14,14.0,54,1023,broken clouds,1574786421,5.1,200,Zacatecas,2019-11-26 10:40:21
